,Source,Sink,Time,Value
564,PNW,PGE_valley,13,4200.0
565,PNW,PGE_valley,14,4200.0
566,PNW,PGE_valley,15,4200.0
567,PNW,PGE_valley,16,4200.0
568,PNW,PGE_valley,17,4200.0
569,PNW,PGE_valley,18,4200.0
570,PNW,PGE_valley,19,4200.0
571,PNW,PGE_valley,20,4200.0
572,PNW,PGE_valley,21,4200.0
573,PNW,PGE_valley,22,4200.0
574,PNW,PGE_valley,23,4200.0
575,PNW,PGE_valley,24,4200.0
576,PNW,PNW,1,0.0
577,PNW,PNW,2,0.0
578,PNW,PNW,3,0.0
579,PNW,PNW,4,0.0
580,PNW,PNW,5,0.0
581,PNW,PNW,6,0.0
582,PNW,PNW,7,0.0
583,PNW,PNW,8,0.0
584,PNW,PNW,9,0.0
585,PNW,PNW,10,0.0
586,PNW,PNW,11,0.0
587,PNW,PNW,12,0.0
588,PNW,PNW,13,0.0
589,PNW,PNW,14,0.0
590,PNW,PNW,15,0.0
591,PNW,PNW,16,0.0
592,PNW,PNW,17,0.0
593,PNW,PNW,18,0.0
594,PNW,PNW,19,0.0
595,PNW,PNW,20,0.0
596,PNW,PNW,21,0.0
597,PNW,PNW,22,0.0
598,PNW,PNW,23,0.0
599,PNW,PNW,24,0.0
600,SCE,SCE,25,0.0
601,SCE,SCE,26,0.0
602,SCE,SCE,27,0.0
603,SCE,SCE,28,0.0
604,SCE,SCE,29,0.0
605,SCE,SCE,30,0.0
606,SCE,SCE,31,0.0
607,SCE,SCE,32,0.0
608,SCE,SCE,33,0.0
609,SCE,SCE,34,0.0
610,SCE,SCE,35,0.0
611,SCE,SCE,36,0.0
612,SCE,SCE,37,0.0
613,SCE,SCE,38,0.0
614,SCE,SCE,39,0.0
615,SCE,SCE,40,0.0
616,SCE,SCE,41,0.0
617,SCE,SCE,42,0.0
618,SCE,SCE,43,0.0
619,SCE,SCE,44,0.0
620,SCE,SCE,45,0.0
621,SCE,SCE,46,0.0
622,SCE,SCE,47,0.0
623,SCE,SCE,48,0.0
624,SCE,SDGE,25,182.05688341117593
625,SCE,SDGE,26,59.286557479267515
626,SCE,SDGE,27,0.0
627,SCE,SDGE,28,0.0
628,SCE,SDGE,29,0.0
629,SCE,SDGE,30,0.0
630,SCE,SDGE,31,52.068333708541275
631,SCE,SDGE,32,0.0
632,SCE,SDGE,33,0.0
633,SCE,SDGE,34,0.0
634,SCE,SDGE,35,0.0
635,SCE,SDGE,36,0.0
636,SCE,SDGE,37,0.0
637,SCE,SDGE,38,0.0
638,SCE,SDGE,39,0.0
639,SCE,SDGE,40,0.0
640,SCE,SDGE,41,260.7066267047341
641,SCE,SDGE,42,357.12235644064174
642,SCE,SDGE,43,584.6569025271499
643,SCE,SDGE,44,600.0000000050009
644,SCE,SDGE,45,508.51272778131926
645,SCE,SDGE,46,420.89822237228003
646,SCE,SDGE,47,289.8745277972644
647,SCE,SDGE,48,349.09142208577526
648,SCE,PGE_bay,25,0.0
649,SCE,PGE_bay,26,0.0
650,SCE,PGE_bay,27,0.0
651,SCE,PGE_bay,28,0.0
652,SCE,PGE_bay,29,0.0
653,SCE,PGE_bay,30,0.0
654,SCE,PGE_bay,31,0.0
